"Longitude (x)","Latitude (y)","Station Name","Climate ID","Date/Time (LST)","Year","Month","Day","Time (LST)","Temp (°C)","Temp Flag","Dew Point Temp (°C)","Dew Point Temp Flag","Rel Hum (%)","Rel Hum Flag","Precip. Amount (mm)","Precip. Amount Flag","Wind Dir (10s deg)","Wind Dir Flag","Wind Spd (km/h)","Wind Spd Flag","Visibility (km)","Visibility Flag","Stn Press (kPa)","Stn Press Flag","Hmdx","Hmdx Flag","Wind Chill","Wind Chill Flag","Weather"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 00:00","2023","10","01","00:00","3.3","","2.9","","97","","","","34","","13","","6.4","","89.61","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 01:00","2023","10","01","01:00","3.4","","2.8","","96","","","","33","","9","","8.1","","89.61","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 02:00","2023","10","01","02:00","3.5","","2.6","","94","","","","32","","6","","9.7","","89.60","","","","","","Rain,Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 03:00","2023","10","01","03:00","3.7","","2.8","","94","","","","33","","7","","9.7","","89.60","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 04:00","2023","10","01","04:00","3.7","","2.5","","92","","","","36","","5","","9.7","","89.57","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 05:00","2023","10","01","05:00","3.8","","2.3","","90","","","","35","","3","","9.7","","89.57","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 06:00","2023","10","01","06:00","3.9","","2.0","","87","","","","36","","2","","12.9","","89.56","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 07:00","2023","10","01","07:00","4.1","","2.5","","89","","","","36","","1","","64.4","","89.57","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 08:00","2023","10","01","08:00","4.2","","2.8","","90","","","","12","","15","","64.4","","89.52","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 09:00","2023","10","01","09:00","4.7","","3.1","","90","","","","23","","11","","24.1","","89.52","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 10:00","2023","10","01","10:00","6.1","","3.6","","83","","","","23","","13","","24.1","","89.47","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 11:00","2023","10","01","11:00","8.0","","3.5","","73","","","","19","","14","","24.1","","89.43","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 12:00","2023","10","01","12:00","9.4","","4.0","","68","","","","17","","17","","24.1","","89.37","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 13:00","2023","10","01","13:00","10.6","","3.9","","63","","","","17","","18","","24.1","","89.30","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 14:00","2023","10","01","14:00","11.9","","4.2","","59","","","","17","","16","","24.1","","89.23","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 15:00","2023","10","01","15:00","11.9","","3.2","","55","","","","18","","22","","24.1","","89.19","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 16:00","2023","10","01","16:00","11.1","","3.5","","59","","","","18","","26","","24.1","","89.15","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 17:00","2023","10","01","17:00","9.8","","3.5","","64","","","","17","","20","","24.1","","89.10","","","","","","Mostly Cloudy"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 18:00","2023","10","01","18:00","8.1","","3.2","","71","","","","16","","26","","24.1","","89.05","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 19:00","2023","10","01","19:00","6.6","","3.1","","79","","","","17","","19","","64.4","","89.07","","","","","","NA"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 20:00","2023","10","01","20:00","5.1","","3.3","","88","","","","16","","19","","16.1","","89.01","","","","","","Mainly Clear"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 21:00","2023","10","01","21:00","4.7","","3.9","","94","","","","17","","18","","9.7","","88.96","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 22:00","2023","10","01","22:00","4.7","","4.1","","96","","","","17","","18","","6.4","","88.87","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-01 23:00","2023","10","01","23:00","4.5","","4.2","","98","","","","17","","25","","3.2","","88.82","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-02 00:00","2023","10","02","00:00","4.5","","3.9","","96","","","","17","","17","","4.0","","88.74","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-02 01:00","2023","10","02","01:00","3.7","","3.3","","97","","","","19","","16","","4.0","","88.65","","","","","","Fog"
"-114.01","51.12","CALGARY INTL A","3031092","2023-10-02 02:00","2023","10","02","02:00","3.0","","2.8","","99","","","","18","","10","","4.0","","88.59","","","","","","Fog"
